title,score,time
"Amazon won't sell you a Chromecast, but they will sell a counterfeit",290 points,6 hours ago
Documents Show Tor Project Is Nearly 100% U.S Government Funded,23 points,22 minutes ago
A good incident postmortem,7 points,41 minutes ago
American using Britain’s NHS (2015),7 points,43 minutes ago
Doom as a tool for system administration (1999),127 points,7 hours ago
We X-Rayed Some MLB Baseballs. Here’s What We Found,6 points,1 hour ago
Show HN: My embarrassing personal website from the 90s,700 points,17 hours ago
GDPR – A Practical Guide for Developers,5 points,1 hour ago
Probabilistic thinking can lead to improved decision-making,78 points,8 hours ago
Linus Torvalds Rants,31 points,1 hour ago
K programming language (2005),36 points,6 hours ago
WebAssembly architecture for Go,191 points,15 hours ago
Let's make the Emacs GC safe and iterative,186 points,18 hours ago
Teacher in Ghana has no computers so he draws Microsoft Word on the blackboard,243 points,11 hours ago
Patent trolls are shaking us down for selling “rubies” in our game,423 points,16 hours ago
"Show HN: Synapse, a full featured BitTorrent client in Rust",149 points,18 hours ago
Lost Causes of Theoretical Physics (2003),82 points,14 hours ago
Google releases 2M images of landmarks for machine learning,111 points,18 hours ago
Slow Thought: a manifesto,25 points,8 hours ago
Do neural networks dream of electric sheep?,111 points,17 hours ago
When is a senior engineer not a senior engineer?,3 points,20 minutes ago
Kenneth Eng Is on the Other Side of Viral Now,92 points,18 hours ago
Show HN: Note Kitchen – Learn piano chords and scales,68 points,17 hours ago
DNA Sheds Light On Settlement of Pacific,11 points,7 hours ago
"Plenty of Sex and Nowhere to Sit: Art, Passion and the Rebirth of Paris",35 points,7 hours ago
Machine Learning Crash Course,1762 points,1 day ago
Wine 3.3 has Vulkan support,153 points,17 hours ago
How flashing lights and pink noise might banish Alzheimer’s and improve memory,62 points,11 hours ago
WebKit exploit write-up,84 points,18 hours ago
Hacking the Brain with Adversarial Images,13 points,7 hours ago
AI-Powered App Helps Physicians Spend More Time with Patients,31 points,14 hours ago
"Why plastic items in a dishwasher take longer to dry than metal,glass or ceramic",25 points,13 hours ago
Understanding word vectors,297 points,1 day ago
Why Don’t Patients Get Sick in Sync? Modelers Find Statistical Clues,46 points,19 hours ago
"A researcher’s tale of defeating traps, tricks, and complex virtual machines",177 points,21 hours ago
"Diabetes is actually five separate diseases, research suggests",10 points,10 hours ago
Wing Commander II,219 points,20 hours ago
Ask HN: What stack would you use to build a CRUD web app in 2018?,52 points,1 hour ago
Shrinking the kernel with a hammer,166 points,20 hours ago
The downsizing of Chinook salmon,40 points,16 hours ago
VoiceOps is hiring engineers and salespeople in SF to build AI for b2b voice data,50 points,5 hours ago
A second collection of interesting links about Kubernetes,32 points,12 hours ago
Show HN: Cloudrun – Numerical weather prediction in the cloud,133 points,18 hours ago
Icelandic language battles threat of 'digital extinction',152 points,1 day ago
“We’re committing Twitter to increase the health and civility of conversation”,215 points,1 day ago
"More art is being produced and sold than ever before, at ever higher prices",9 points,1 day ago
Among the ufologists,103 points,9 hours ago
A Supreme Court Case That Could Give Tech Giants More Power,324 points,17 hours ago
NASA finds a large amount of water in an exoplanet's atmosphere,130 points,1 day ago
Chrome lets hackers phish even 'Unphishable' Yubikey users,23 points,23 hours ago
Soft contact lens technology could link renewables and the grid,71 points,19 hours ago
Facebook Reminds Publishers That It Is in Complete Control of Their Livelihood,560 points,15 hours ago
Ask HN: Who is hiring? (March 2018),401 points,1 day ago
Canada to Scrap IBM Payroll Plan Gone Awry Costing $1B,313 points,1 day ago
Unnecessary medical care is harming patients physically and financially (2015),95 points,1 day ago
Burning Out: What Really Happens Inside a Crematorium,292 points,22 hours ago
Firefox Configuration Guide for Privacy Freaks and Performance Buffs,46 points,1 day ago
Code Splitting with Vue.js and Webpack,16 points,17 hours ago
The New 83(i) Election – Defer Tax on Your Stock Options,7 points,18 hours ago
Government warns of additional James Webb delays and exceeding cost cap,18 points,4 hours ago
These robotic skiers hit the slopes in style,128 points,14 hours ago
The Return of Software Vulnerabilities in the Brazilian Voting Machine,248 points,1 day ago
