title,score,time
A Career Cold Start Algorithm,95 points,1 hour ago
Elementary Knightship found in Conway's Game of Life,602 points,15 hours ago
Using Prettier to format your JavaScript code,73 points,3 hours ago
Nixie-clock using neon lamps as logic (2017),73 points,7 hours ago
3D Lightning (2013),104 points,10 hours ago
Symbolic Execution: Intuition and Implementation,100 points,11 hours ago
Contract Simply (YC S17) is hiring a full-stack developer,18 points,10 minutes ago
Tattoo You: Immune System Cells Help Keep Ink in Its Place,16 points,5 hours ago
Volume.gl – 3D Model from Single Image,147 points,5 hours ago
"How to Write CSS That Works in Every Browser, Even the Old Ones",109 points,13 hours ago
Agatha Christie’s life rivaled the mysteries she created,202 points,14 hours ago
Relibc: C Library in Rust for Redox and Linux,50 points,10 hours ago
Building a Content-Based Search Engine II: Extracting Feature Vectors,87 points,10 hours ago
Primer on Go Assembly,63 points,10 hours ago
Emacs JIT Calling Convention,102 points,10 hours ago
C++ Core Guidelines,68 points,8 hours ago
How to Clone Mineral Water (2012),511 points,11 hours ago
Keybase is now supported by the Stellar Development Foundation,86 points,18 hours ago
It has gotten much easier to wage record-breaking DDoSes,78 points,13 hours ago
The Quantum Thermodynamics Revolution (2017),13 points,13 hours ago
"Nuclear fusion on brink of being realised, say MIT scientists",32 points,1 hour ago
The Connections Between Coffee and Biodiversity,90 points,9 hours ago
Every Good Regulator of a System Must Be a Model of That System (1970) [pdf],77 points,16 hours ago
Honda Needs a Tune-Up (2008),107 points,12 hours ago
Less is Exponentially More (2012),828 points,9 hours ago
All of Oculus’s Rift headsets have stopped working due to an expired certificate,64 points,1 day ago
Starsky Robotics (YC S16) Drove a Fully Driverless Truck and Raised $16.5M,71 points,14 hours ago
Open Source Apps (2013),214 points,15 hours ago
Writing a Microservice in Rust,17 points,18 hours ago
The PowerPoint Philosophe: Waiting for Steven Pinker’s Enlightenment,56 points,8 hours ago
SAS is on the brink of something,258 points,10 hours ago
Scrcpy – An app to display and control Android devices,66 points,17 hours ago
Urbanism and Standards of Respectability,1309 points,12 hours ago
Two Photographers Unknowingly Shot the Same Millisecond in Time,693 points,1 day ago
"Facebook Really Is Spying on You, Just Not Through Your Phone's Mic",12 points,1 day ago
The Massive Prize Luring Miners to the Stars,15 points,10 hours ago
HyperCard Zine – A new collection of HyperCard stacks curated by jae kaplan,324 points,9 hours ago
Unexpected challenges of making money on the internet,80 points,1 day ago
"The real reason for large DDoS attacks? It's IP Spoofing, not memcached",185 points,11 hours ago
Vim-db: Modern database interface for Vim,4 points,20 hours ago
Inside Xiaomi’s everything store,68 points,2 hours ago
What is Money? (1913),13 points,14 hours ago
Top-Secret Security Clearance Is a Ticket to Lots of Job Offers,381 points,5 hours ago
California to Introduce 'Right to Repair' Bill,75 points,15 hours ago
Bringing Back Skeuomorphic Design,156 points,12 hours ago
"Building bots to mend badges, or how to get your GitHub account suspended",13 points,18 hours ago
Historiated Initials from Andreas Vesalius's De Humani Corporis Fabrica,9 points,14 hours ago
Wedding Seat Optimization Using Simulated Annealing,91 points,11 hours ago
Heredity Beyond the Gene,147 points,17 hours ago
Into the Breach’s interface was a nightmare to make and the key to its greatness,71 points,1 day ago
Crellvm: Verified Credible Compilation for LLVM,32 points,18 hours ago
Ask HN: How can I stop receiving spam phone calls?,73 points,7 hours ago
Standardizing lessons learned from AMP,59 points,15 hours ago
The spread of true and false news online,339 points,13 hours ago
The New Wave of Indian Type,71 points,1 day ago
Rarely-Asked Questions (2006),9 points,20 hours ago
I Hope for Goldman Sachs’ Bankruptcy: Nassim Nicholas Taleb on Skin in the Game,33 points,6 hours ago
Using Common Crawl to play Family Feud,209 points,10 hours ago
An argument that companies should pay users for their data,173 points,22 hours ago
"Ask HN: If you've used a graph database, would you use it again?",1108 points,1 day ago
