title,score,time
Next generation video: Introducing AV1,554 points,10 hours ago
ZFS on Linux: Unlistable and disappearing files,218 points,6 hours ago
Apple now globally powered by 100 percent renewable energy,77 points,1 hour ago
It’s time for third-party data brokers to emerge from the shadows,117 points,8 hours ago
Weirdstuff Warehouse is closed,156 points,7 hours ago
Color: From Hex codes to Eyeballs,273 points,10 hours ago
RFC 7858: DNS over TLS (2016),92 points,7 hours ago
A Quantum Computer Simulator in 150 Lines of Python,122 points,8 hours ago
Ask HN: Do you have the courage to abandon your high paying job?,51 points,1 hour ago
The Mathematics of 2048: Optimal Play with Markov Decision Processes,170 points,10 hours ago
Android container in Chrome OS,329 points,14 hours ago
Age and High-Growth Entrepreneurship,111 points,8 hours ago
Uber enters dockless bike wars with Jump acquisition,162 points,12 hours ago
Mythology About Security,68 points,7 hours ago
Solid ship ballast from the age of sail tells surprising stories about history,34 points,5 hours ago
Can a Wandering Mind Make You Neurotic?,68 points,5 hours ago
ACE Submarine Cable Cut Impacts Ten Countries,153 points,14 hours ago
"85,000-year-old Finger Bone Complicates Understanding of African Migration",70 points,5 hours ago
Elm at Pacific Health Dynamics,102 points,9 hours ago
A Python Interpreter Written in Python (2016),129 points,12 hours ago
Reverse Engineering WhatsApp Web,298 points,15 hours ago
Project from Hell (2008),188 points,14 hours ago
Probes Point to Northrop Grumman Errors in January SpaceX Spy-Satellite Failure,121 points,13 hours ago
Trusted End Node Security,3 points,1 hour ago
Do What You Love and Starve? (2006),94 points,6 hours ago
Rational: Or why am I bothering to rewrite nanomsg?,78 points,9 hours ago
OpenAI Charter,194 points,13 hours ago
Finding Dmitry: The Magical Story of a Russian Boy's Photos,105 points,13 hours ago
Home Values Are Rising by $800 a Day in San Jose,103 points,5 hours ago
Incrementally Improving the DOM,76 points,11 hours ago
What makes a tree a tree?,62 points,11 hours ago
FreedomBox,196 points,12 hours ago
Carbon Black S-1,61 points,12 hours ago
Show HN: Turn Touch wooden smart home remote now shipping,103 points,15 hours ago
